ADJUSTED G VALUE,,,,,,787-8 RAW DATA FROM PIANO X (< 3000 ROC),,,,787-9 NO PREADJUSTED FUEL BURNT & ROC (< 3000 ROC),,,,,9.80665
Altitude (feet) ,Altitude (m)*,Adjusted G*,RANGE (NM),PAYLOAD (KG),MASS INIT (KG) ,Fuel Burnt (kg) ,Altitude (feet) ,ROC (feet/min) ,,Fuel Burnt (kg) ,Weight (N)**,Altitude (feet) ,ROC (feet/min),,63710088
16296,4967.020641,9.80512107,,,,1454.8,16296,2699,,1454.8,1814841.625,16296,2699,,
17555,5350.763829,9.805002962,,,,1554.2,17555,2582,,1554.2,1813845.147,17555,2582,,
18814,5734.507016,9.804884857,,,,1655.3,18814,2466,,1655.3,1812832.025,18814,2466,,
20073,6118.250204,9.804766754,,,,1758.4,20073,2348,,1758.4,1811799.317,20073,2348,,
21332,6501.993392,9.804648652,,,,1863.6,21332,2237,,1863.6,1810746.044,21332,2237,,
22591,6885.73658,9.804530553,,,,1971.2,22591,2125,,1971.2,1809669.266,22591,2125,,
23850,7269.479767,9.804412457,,,,2081.4,23850,2014,,2081.4,1808567.022,23850,2014,,
25110,7653.527755,9.804294268,,,,2194.5,25110,1904,,2194.5,1807436.355,25110,1904,,
26369,8037.270943,9.804176175,,,,2311,26369,1786,,2311,1806272.398,26369,1786,,
27628,8421.014131,9.804058085,,,,2431.6,27628,1670,,2431.6,1805068.272,27628,1670,,
28887,8804.757318,9.803939997,,,,2556.6,28887,1555,,2556.6,1803821.038,28887,1555,,
30146,9188.500506,9.80382191,,,,2686.8,30146,1439,,2686.8,1802522.853,30146,1439,,
31405,9572.243694,9.803703826,,,,2823.6,31405,1308,,2823.6,1801159.996,31405,1308,,
32664,9955.986881,9.803585744,,,,2968.3,32664,1190,,2968.3,1799719.723,32664,1190,,
33923,10339.73007,9.803467665,,,,3122.6,33923,1078,,3122.6,1798185.371,33923,1078,,
33923,10339.73007,9.803467665,,,,3122.6,33923,1582,,3122.6,1798185.371,33923,1582,,
34138,10405.26207,9.8034475,,,,3141.2,34138,1560,,3141.2,1797999.328,34138,1560,,
34353,10470.79406,9.803427336,,,,3159.9,34353,1537,,3159.9,1797812.306,34353,1537,,
34567,10536.02126,9.803407266,,,,3178.7,34567,1514,,3178.7,1797624.321,34567,1514,,
34782,10601.55326,9.803387101,,,,3197.7,34782,1491,,3197.7,1797434.359,34782,1491,,
34996,10666.78046,9.803367031,,,,3216.8,34996,1468,,3216.8,1797243.435,34996,1468,,
35211,10732.31246,9.803346867,,,,3236.1,35211,1435,,3236.1,1797050.534,35211,1435,,
35425,10797.53965,9.803326797,,,,3255.6,35425,1402,,3255.6,1796855.69,35425,1402,,
35640,10863.07165,9.803306633,,,,3275.3,35640,1369,,3275.3,1796658.869,35640,1369,,
35854,10928.29885,9.803286563,,,,3295.4,35854,1335,,3295.4,1796458.145,35854,1335,,
36069,10993.83085,9.803266399,,,,3315.7,36069,1301,,3315.7,1796255.443,36069,1301,,
36284,11059.36285,9.803246236,,,,3337.4,36284,1148,,3337.4,1796039.018,36284,1148,,
36498,11124.59004,9.803226166,,,,3360.5,36498,1117,,3360.5,1795808.887,36498,1117,,
36713,11190.12204,9.803206002,,,,3384,36713,1086,,3384,1795574.818,36713,1086,,
36927,11255.34924,9.803185932,,,,3407.9,36927,1055,,3407.9,1795336.846,36927,1055,,
37142,11320.88124,9.803165769,,,,3432.4,37142,1022,,3432.4,1795092.975,37142,1022,,
37356,11386.10844,9.803145699,,,,3457.3,37356,990,,3457.3,1794845.202,37356,990,,
37571,11451.64043,9.803125536,,,,3482.7,37571,957,,3482.7,1794592.511,37571,957,,
37785,11516.86763,9.803105466,,,,3508.8,37785,923,,3508.8,1794332.976,37785,923,,
38000,11582.39963,9.803085303,,,,3535.5,38000,889,,3535.5,1794067.543,38000,889,,
38000,11582.39963,9.803085303,,,,3858.9,38000,875,,3858.9,1790897.225,38000,875,,
38105,11614.40363,9.803075456,,,,3872.7,38105,857,,3872.7,1790760.144,38105,857,,
38211,11646.71243,9.803065515,,,,3886.6,38211,839,,3886.6,1790622.065,38211,839,,
38316,11678.71643,9.803055668,,,,3900.7,38316,821,,3900.7,1790482.043,38316,821,,
38421,11710.72043,9.803045821,,,,3915.1,38421,803,,3915.1,1790339.081,38421,803,,
38526,11742.72442,9.803035974,,,,3929.7,38526,785,,3929.7,1790194.158,38526,785,,
38632,11775.03322,9.803026033,,,,3944.5,38632,767,,3944.5,1790047.258,38632,767,,
38737,11807.03722,9.803016186,,,,3959.6,38737,748,,3959.6,1789897.435,38737,748,,
38842,11839.04122,9.803006339,,,,3975.1,38842,729,,3975.1,1789743.69,38842,729,,
38947,11871.04522,9.802996492,,,,3990.8,38947,710,,3990.8,1789587.985,38947,710,,
39053,11903.35402,9.802986551,,,,4006.8,39053,693,,4006.8,1789429.323,39053,693,,
39158,11935.35802,9.802976704,,,,4023.1,39158,679,,4023.1,1789267.737,39158,679,,
39263,11967.36202,9.802966857,,,,4039.7,39263,664,,4039.7,1789103.21,39263,664,,
39368,11999.36602,9.80295701,,,,4056.6,39368,648,,4056.6,1788935.743,39368,648,,
39474,12031.67481,9.80294707,,,,4073.9,39474,633,,4073.9,1788764.338,39474,633,,
39579,12063.67881,9.802937223,,,,4091.5,39579,617,,4091.5,1788590.01,39579,617,,
39684,12095.68281,9.802927376,,,,4109.4,39684,602,,4109.4,1788412.74,39684,602,,
39789,12127.68681,9.802917529,,,,4127.8,39789,586,,4127.8,1788230.57,39789,586,,
39895,12159.99561,9.802907588,,,,4146.6,39895,569,,4146.6,1788044.462,39895,569,,
40000,12191.99961,9.802897741,,,,4165.9,40000,553,,4165.9,1787853.47,40000,553,,
40000,12191.99961,9.802897741,,,,26766.2,40000,947,,26766.2,1566305.041,40000,947,,
40158,12240.15801,9.802882924,,,,26783.4,40158,926,,26783.4,1566134.063,40158,926,,
40316,12288.31641,9.802868107,,,,26800.9,40316,904,,26800.9,1565960.146,40316,904,,
40474,12336.47481,9.80285329,,,,26818.7,40474,882,,26818.7,1565783.288,40474,882,,
40632,12384.6332,9.802838473,,,,26836.8,40632,860,,26836.8,1565603.49,40632,860,,
40789,12432.4868,9.80282375,,,,26855.3,40789,838,,26855.3,1565419.787,40789,838,,
40947,12480.6452,9.802808933,,,,26874.1,40947,815,,26874.1,1565233.128,40947,815,,
41105,12528.8036,9.802794116,,,,26893.4,41105,792,,26893.4,1565041.568,41105,792,,
41263,12576.962,9.802779299,,,,26913,41263,768,,26913,1564847.068,41263,768,,
41421,12625.1204,9.802764482,,,,26933.2,41421,744,,26933.2,1564646.687,41421,744,,
41579,12673.27879,9.802749665,,,,26953.8,41579,720,,26953.8,1564442.385,41579,720,,
41737,12721.43719,9.802734848,,,,26975,41737,696,,26975,1564232.202,41737,696,,
41895,12769.59559,9.802720032,,,,26996.8,41895,671,,26996.8,1564016.139,41895,671,,
42053,12817.75399,9.802705215,,,,27019.3,42053,645,,27019.3,1563793.214,42053,645,,
42211,12865.91239,9.802690398,,,,27042.5,42211,619,,27042.5,1563563.428,42211,619,,
42368,12913.76599,9.802675675,,,,27066.5,42368,593,,27066.5,1563325.815,42368,593,,
42526,12961.92439,9.802660859,,,,27091.4,42526,566,,27091.4,1563079.366,42526,566,,
42684,13010.08278,9.802646042,,,,27117.3,42684,539,,27117.3,1562823.115,42684,539,,
42842,13058.24118,9.802631225,,,,27144.4,42842,511,,27144.4,1562555.102,42842,511,,
43000,13106.39958,9.802616409,,,,27172.7,43000,483,,27172.7,1562275.326,43000,483,,
23323,7108.850173,9.80446189,2000,0,142697,1477.3,23323,2943,,1477.3,1384583.167,23323,2943,,
24655,7514.84376,9.804336947,,,,1559.6,24655,2794,,1559.6,1383758.625,24655,2794,,
25988,7921.142147,9.804211913,,,,1643.9,25988,2635,,1643.9,1382914.483,25988,2635,,
27320,8327.135734,9.804086974,,,,1730.4,27320,2478,,1730.4,1382048.807,27320,2478,,
28652,8733.129321,9.803962038,,,,1819.3,28652,2322,,1819.3,1381159.623,28652,2322,,
29984,9139.122908,9.803837105,,,,1911.1,29984,2170,,1911.1,1380242.03,29984,2170,,
31317,9545.421295,9.80371208,,,,2006.4,31317,1990,,2006.4,1379290.135,31317,1990,,
32649,9951.414882,9.803587151,,,,2106,32649,1822,,2106,1378296.121,32649,1822,,
33981,10357.40847,9.803462225,,,,2210.2,33981,1680,,2210.2,1377257.037,33981,1680,,
35314,10763.70686,9.803337207,,,,2320,35314,1539,,2320,1376163.067,35314,1539,,
35314,10763.70686,9.803337207,,,,2320,35314,2273,,2320,1376163.067,35314,2273,,
35718,10886.84605,9.803299318,,,,2343.4,35718,2200,,2343.4,1375928.351,35718,2200,,
36123,11010.29005,9.803261335,,,,2368.3,36123,1921,,2368.3,1375678.919,36123,1921,,
36527,11133.42924,9.803223446,,,,2394.8,36527,1856,,2394.8,1375413.817,36527,1856,,
36932,11256.87324,9.803185463,,,,2421.6,36932,1789,,2421.6,1375145.762,36932,1789,,
37336,11380.01244,9.803147575,,,,2449,37336,1721,,2449,1374871.841,37336,1721,,
37741,11503.45643,9.803109593,,,,2476.8,37741,1652,,2476.8,1374593.988,37741,1652,,
38145,11626.59563,9.803071705,,,,2505.2,38145,1582,,2505.2,1374310.268,38145,1582,,
38550,11750.03962,9.803033723,,,,2534.2,38550,1512,,2534.2,1374020.655,38550,1512,,
38955,11873.48362,9.802995742,,,,2563.9,38955,1440,,2563.9,1373724.183,38955,1440,,
39359,11996.62282,9.802957854,,,,2594.3,39359,1386,,2594.3,1373420.863,39359,1386,,
39764,12120.06681,9.802919873,,,,2625.4,39764,1335,,2625.4,1373110.671,39764,1335,,
40168,12243.20601,9.802881987,,,,2657.1,40168,1282,,2657.1,1372794.613,40168,1282,,
40573,12366.65,9.802844006,,,,2689.6,40573,1228,,2689.6,1372470.702,40573,1228,,
40977,12489.7892,9.802806119,,,,2723,40977,1172,,2723,1372137.984,40977,1172,,
41382,12613.2332,9.802768139,,,,2757.4,41382,1116,,2757.4,1371795.452,41382,1116,,
41786,12736.37239,9.802730253,,,,2792.9,41786,1057,,2792.9,1371442.154,41786,1057,,
42191,12859.81639,9.802692274,,,,2829.7,42191,998,,2829.7,1371076.101,42191,998,,
42595,12982.95558,9.802654388,,,,2868.1,42595,937,,2868.1,1370694.38,42595,937,,
43000,13106.39958,9.802616409,,,,2908.2,43000,874,,2908.2,1370295.985,43000,874,,
